Genere,Categoria,Nome,Prezzo_effettivo,Prezzo_originario,Colore,Taglia
Donna,Ballerine,Ballerina A706 Nero,89.9,89.9,['Nero'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A707 Carta da Zucchero,89.9,89.9,"['Celeste', 'T.Moro', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A707 Suede Testa di Moro,89.9,89.9,"['T.Moro', 'Celeste', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A707 Nero,89.9,89.9,"['Nero', 'Celeste', 'T.Moro']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A708 Nero,89.9,89.9,"['Nero', 'Beige']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina Mocassino D890 Suede Cuoio,63.9,79.9,"['Cuoio', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina Mocassino D890 Nero,63.9,79.9,"['Nero', 'Cuoio']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A708 Beige,89.9,89.9,"['Beige', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina con Strass D882 Suede Nero,63.9,79.9,"['Nero', 'Cuoio']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina con Strass D882 Suede Cuoio,63.9,79.9,"['Cuoio', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A885 Nude Nero,55.9,79.9,"['Nude', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A885 Vernice Nero,55.9,79.9,"['Nero', 'Nude']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina Friulana A829 Nero,48.9,69.9,"['Nero', 'Grigio', 'Giallo', 'Arancio', 'Corallo']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina Friulana A829 Grigio,48.9,69.9,"['Grigio', 'Nero', 'Giallo', 'Arancio', 'Corallo']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina Friulana A829 Giallo,48.9,69.9,"['Giallo', 'Nero', 'Grigio', 'Arancio', 'Corallo']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina Friulana A829 Arancione,48.9,69.9,"['Arancio', 'Nero', 'Grigio', 'Giallo', 'Corallo']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina Friulana A829 Corallo,48.9,69.9,"['Corallo', 'Nero', 'Grigio', 'Giallo', 'Arancio']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A869 Nero,54.9,54.9,['Nero'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A887 Nero,55.9,79.9,['Nero'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A892 Cuoio,79.9,79.9,"['Cuoio', 'Nero', 'Verde']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A892 Nero,79.9,79.9,"['Nero', 'Cuoio', 'Verde']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A892 Salvia,79.9,79.9,"['Verde', 'Cuoio', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A889 Nero,55.9,79.9,"['Nero', 'Platino']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A889 Platino,55.9,79.9,"['Platino', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A891 Rosso,62.9,89.9,"['Rosso', 'Cuoio']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A891 Giallo,62.9,89.9,"['Cuoio', 'Rosso']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A849 Rosa,59.9,59.9,"['Rosa', 'Rosso', 'Blu', 'Nero', 'Lilla']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A849 Rosso,59.9,59.9,"['Rosso', 'Rosa', 'Blu', 'Nero', 'Lilla']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A849 Blu,59.9,59.9,"['Blu', 'Rosa', 'Rosso', 'Nero', 'Lilla']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A849 Nero,59.9,59.9,"['Nero', 'Rosa', 'Rosso', 'Blu', 'Lilla']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina A849 Lilla,59.9,59.9,"['Lilla', 'Rosa', 'Rosso', 'Blu', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina Sabot A886 Fuxia Rosa,55.9,79.9,"['Fuxia', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Ballerine,Ballerina Sabot A886 Nero,55.9,79.9,"['Nero', 'Fuxia']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A5737 Blu,94.9,94.9,"['Blu', 'Platino', 'Beige', 'Nero']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A5737 Laminato Platino,94.9,94.9,"['Platino', 'Blu', 'Beige', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A5737 Beige,94.9,94.9,"['Beige', 'Blu', 'Platino', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A5737 Nero,94.9,94.9,"['Nero', 'Blu', 'Platino', 'Beige']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A5736 Cuoio,94.9,94.9,"['Cuoio', 'Nero', 'Verde']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A5736 Nero,94.9,94.9,"['Nero', 'Cuoio', 'Verde']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A5736 Salvia,94.9,94.9,"['Verde', 'Cuoio', 'Nero']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Decollete_slingback,Sandalo con tacco A6729 Nude,99.9,99.9,"['Multicolor', 'Giallo', 'Rosa', 'Nero']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6729 Giallo,99.9,99.9,"['Giallo', 'Multicolor', 'Rosa', 'Nero']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6729 Rosa,99.9,99.9,"['Rosa', 'Multicolor', 'Giallo', 'Nero']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6729 Nero,99.9,99.9,"['Nero', 'Multicolor', 'Giallo', 'Rosa']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Slingback con tacco A3683 Panna,94.9,94.9,"['Beige', 'Argento', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Slingback con tacco A3683 Argento,94.9,94.9,"['Argento', 'Beige', 'Nero']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Slingback con tacco A3683 Nero,94.9,94.9,"['Nero', 'Beige', 'Argento']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6710 Giallo,99.9,99.9,['Giallo'],"[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6711 Fuxia,99.9,99.9,['Fuxia'],"[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6712 Nero Bianco,99.9,99.9,"['Bianco', 'Arancio']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6712 Arancio,99.9,99.9,"['Arancio', 'Bianco']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6713 Argento,99.9,99.9,"['Argento', 'Argento']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6713 Pitone Oro,99.9,99.9,"['Argento', 'Argento']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6725 Rame,99.9,99.9,"['Rame', 'Argento']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6725 Argento,99.9,99.9,"['Argento', 'Rame']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6726 Nero,99.9,99.9,"['Nero', 'Arancio', 'Fuxia', 'Platino']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6726 Suede Arancio,99.9,99.9,"['Arancio', 'Nero', 'Fuxia', 'Platino']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
Donna,Decollete_slingback,Sandalo con tacco A6726 Suede Fuxia,99.9,99.9,"['Fuxia', 'Nero', 'Arancio', 'Platino']","[34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]"
